,czone,I_c_80,pop_80,manuf_80,female_80,emp_80,col_80,fborn_80,fborn_denom_80,manuf_share_80,female_share_80,col_share_80,lnpop_80,fborn_share_80,x,z_1,z_2,Dln_wage,Dunemp_rate,Dnilf_rate,statefip
366,26102.0,347.20772087574005,24806.58428683877,3754.0606972575188,7449.966119527817,17901.747733801603,2853.7687718868256,347.20772087574005,24774.53657850623,0.20970358610121634,0.41615859134586,0.11504077864524476,10.118864392352444,0.014014700931962892,0.025836740427996097,0.029059597269275768,2.0761904348891664,1.13184943439928,-0.0020744326765087737,-0.057084770539662655,29.0
367,26103.0,137.87643492221832,12093.32003518939,1812.7368608117104,3609.009734392166,8619.889938980341,1368.2906103134155,137.87643492221832,12082.164015322924,0.21029698449098083,0.4186839692780441,0.11314433144346925,9.400408515934343,0.011411567890268643,0.024095497698719277,0.024540022947843392,2.1524370814097566,1.12061157486025,0.0009570698912415576,-0.06682467596063121,29.0
368,26104.0,64.36589732766151,7613.047213256359,1038.9465226978064,2190.702627301216,5341.152423173189,836.2676982581615,64.36589732766151,7607.209201008081,0.19451729521708092,0.4101554222262235,0.10984664548014296,8.937618792949449,0.00846117092706376,0.007169810083049651,0.020165035760857646,2.385073084943032,1.1670020474247826,-0.006407064034221886,-0.0920605348163149,29.0
369,26105.0,48.4967552870512,6212.689598351717,918.8858896493912,1837.7717792987823,4351.9456718117,686.6119564324617,48.4967552870512,6210.137137547135,0.21114369501466276,0.4222873900293255,0.11051766639276911,8.734349188788565,0.007809288943690916,0.023530427908668352,0.01828020833078794,2.3417908987967286,1.1216252246942968,0.001268962872847182,-0.08343391118382781,29.0
370,26106.0,151.7218816280365,15791.719179451466,2313.7586948275566,4589.586919248104,11236.901858076453,1716.353785917163,151.7218816280365,15788.558306917548,0.2059071729957806,0.4084388185654008,0.10868694955964772,9.667240979058938,0.00960960960960961,0.027786595834539497,0.017553711498334703,1.827048805118337,1.1774496812647506,-0.015215828044241306,-0.09384905429061655,19.0
371,26107.0,146.18584014475346,18727.175521701574,2769.8369711637497,5539.673942327499,13118.255655094981,2069.6837367862463,146.18584014475346,18719.48153011501,0.21114369501466276,0.4222873900293255,0.11051766639276911,9.837730984371126,0.007809288943690916,0.0241675611642969,0.01828020833078794,2.3417908987967286,1.1216252246942968,0.001268962872847182,-0.08343391118382781,29.0
372,26201.0,585.3496151044965,53082.847952619195,2073.8100649416447,15888.060981407762,39904.11947540939,8613.001479394734,585.3496151044965,53066.123677901924,0.051969823973176864,0.39815590947191953,0.16225582860743543,10.879609140974779,0.011030570438071227,0.017068797546511385,0.027112428212902214,2.4587099185071892,1.1287352534941766,-0.019159865014302984,-0.0830684843036946,38.0
373,26202.0,23.99332858622074,2175.852140933275,85.00493556261063,651.2474901974201,1635.6594859063625,353.0446920543909,23.99332858622074,2175.166617259383,0.051969823973176864,0.39815590947191953,0.16225582860743543,7.685175655728379,0.011030570438071227,0.0004801205900558915,0.027112428212902214,2.4587099185071892,1.0949704498155401,-0.015173552252007609,-0.08011560485969596,38.0
374,26203.0,121.58904567360878,6885.678822398186,273.05741250514984,1974.4323755800724,4999.382769316435,1106.3856142759323,121.58904567360878,6879.480443894863,0.05461822490988922,0.39493522834420547,0.16067923625438482,8.837199000695993,0.017674161103475763,0.0038581460174958713,0.031239086002559004,1.7690928629895863,1.240412075809709,-0.01918408531960191,-0.11163810994324341,38.0
375,26204.0,21.517646871507168,1951.3431762903929,76.23394891619682,584.050415083766,1466.8887267261744,316.6168039664626,21.517646871507168,1950.7283863797784,0.051969823973176864,0.39815590947191953,0.16225582860743543,7.5762732227922465,0.011030570438071227,0.009814958927369442,0.027112428212902214,2.4587099185071892,1.1442199491471634,-0.02095617777264414,-0.08440567045974917,38.0
376,26301.0,280.1702031493187,12313.242996037006,493.85934114456177,3411.903236657381,8697.147916406393,1963.5657458007336,280.1702031493187,12296.622729748487,0.056784056784056784,0.3923013923013923,0.15946779791747012,9.418430628515464,0.022784321297547788,0.001523059104471272,0.03440996999171755,1.5122890201444679,1.1702560543720502,-0.018242352579310124,-0.1323255763293379,38.0
377,26302.0,87.22935445606709,3833.656205162406,153.76021802425385,1062.2761216387153,2707.806147225201,611.3447130098939,87.22935445606709,3828.481582440436,0.056784056784056784,0.3923013923013923,0.15946779791747012,8.251574249569972,0.022784321297547788,-0.0029192378912320824,0.03440996999171755,1.5122890201444679,1.1487384817232091,-0.019322518211098257,-0.13396817396439634,38.0
378,26303.0,173.37968781590462,7619.890347570181,305.61843276023865,2111.4119609445333,5382.116919234395,1215.1271340996027,173.37968781590462,7609.605111852288,0.056784056784056784,0.3923013923013923,0.15946779791747012,8.9385172584945,0.022784321297547788,0.008309871834873172,0.034409969991717554,1.5122890201444679,1.301711794546117,-0.01797159323059961,-0.13302039058970577,38.0
379,26304.0,588.502505980432,38605.76439231634,1095.5200495943427,9832.51879222691,27550.97116459161,5504.761902093887,588.502505980432,38587.65662290156,0.039763391390075585,0.35688465330266184,0.1425891181988743,10.561156880891831,0.015251055842327546,0.013576016490529105,0.02263899035234064,1.485117767113546,1.2741629828492063,-0.014550718824812306,-0.12655274582532847,38.0
380,26305.0,136.26086317002773,7721.436686813831,272.89374873042107,2104.012295678258,5541.050904765725,1184.5251375436783,136.26086317002773,7715.149959176779,0.04924945708326045,0.3797135835494035,0.15340734964084254,8.951755725032706,0.01766146658082159,0.002542808757792728,0.028465770411105366,1.6130577691737065,1.1960074522152877,-0.01780088798244311,-0.12178744734999626,38.0
381,26401.0,32.21056900918484,1751.9105165079236,69.01857348158956,487.5922231376171,1264.9457502365112,268.16459633409977,32.21056900918484,1748.8362875394523,0.05456247706171187,0.3854649284733755,0.15306980225715594,7.468462195139407,0.01841828719971491,-0.005209494961749983,0.03087334180193521,1.679179655818281,1.0695909684744285,0.010446618522170756,-0.050273644196184686,46.0
382,26402.0,20.11466808617115,1891.4276603609324,43.473637476563454,493.1337982416153,1341.1941591650248,269.92586851119995,20.11466808617115,1888.1833590567112,0.0324141267537494,0.36768263183357525,0.14271012006861064,7.545087198753284,0.010652920962199313,0.002322230982384324,0.011461871669446545,1.0777856747237637,1.1944804968308445,-0.003970278485681912,-0.08730089442116884,30.0
383,26403.0,40.07325884886086,2628.8057804852724,74.59791262634099,669.5316786132753,1876.045025801286,374.8390981554985,40.07325884886086,2627.5727571360767,0.039763391390075585,0.35688465330266184,0.1425891181988743,7.874284946187035,0.015251055842327546,-0.001689839120804439,0.022638990352340637,1.4851177671135458,1.224913483517583,-0.00876809330417578,-0.12226268022527526,38.0
384,26404.0,76.00173685699701,5979.868390262127,147.59746212512255,1579.3833727389574,4225.532347969711,856.9290697574615,76.00173685699701,5975.301529541612,0.03492990941035876,0.37377145473701595,0.14330232938787105,8.69615383838512,0.012719314076661735,2.6633218761526452e-05,0.019879691167477044,1.5641476331553705,1.270015915124067,0.005009942208473499,-0.10003268311423297,38.0
385,26405.0,58.02534028887749,1440.7500701397657,45.91015934944153,422.7560506761074,1032.022123709321,243.26008044183254,58.02534028887749,1436.9242235273123,0.04448563484708063,0.40963855421686746,0.16884266430626244,7.2729191389995895,0.04038162857776792,-0.028124475666308074,0.034614843115557604,0.859475143072554,1.0561443127048435,-0.005170810567602865,-0.07871301777053713,30.0
386,26406.0,228.67645148187876,6677.468942664564,200.71920458227396,1914.9339206516743,4773.327570073307,1091.950297281146,228.67645148187876,6661.014123260975,0.04205016346263272,0.4011737917710654,0.1635275740938776,8.806494293930928,0.03433057598291469,-0.01799266346477924,0.02990576730565062,0.8732636486877615,1.0843361599745218,-0.004922617516608906,-0.08050453038545446,30.0
387,26407.0,110.81099331378937,2751.400432884693,87.67463207244873,807.3372370004654,1970.8526667952538,464.5537796616554,110.81099331378937,2744.0942135453224,0.04448563484708063,0.40963855421686746,0.16884266430626244,7.919865309359402,0.04038162857776792,-0.027549967793788623,0.03461484311555761,0.8594751430725541,1.0561443127048435,-0.005170810567602865,-0.07871301777053713,30.0
388,26408.0,319.6408089250326,7936.575909517705,252.90261805057526,2328.8116078823805,5685.040101595223,1340.0326220318675,319.6408089250326,7915.500691346824,0.04448563484708063,0.40963855421686746,0.16884266430626244,8.97923721557535,0.04038162857776792,-0.026893689590880922,0.03461484311555761,0.8594751430725541,1.0561443127048435,-0.0051708105676028585,-0.07871301777053713,30.0
389,26409.0,88.78166873008013,7842.540308069438,186.55047487467527,2037.673336751759,5566.393521055579,1119.068659543991,88.78166873008013,7830.542611181736,0.03351370580772358,0.36606706461625554,0.14269211449159477,8.967318079748079,0.011337869307205234,0.002050015765093028,0.013125073004259712,1.1594050388398,1.2016025864642415,-0.005081139250693284,-0.09328283911926374,30.0
390,26410.0,219.20504248701036,14379.85078714788,408.05861755274236,3662.4104021675885,10262.168373661116,2050.4102435708046,219.20504248701036,14373.106016609818,0.039763391390075585,0.35688465330266184,0.1425891181988743,9.573583254805895,0.015251055842327546,0.0014313053603716775,0.02263899035234064,1.485117767113546,1.224913483517583,-0.00876809330417578,-0.12226268022527526,38.0
391,26411.0,175.641236230731,13382.771394699812,346.5797256678343,3445.571110099554,9522.552971318364,1908.9821934700012,175.641236230731,13368.825292736292,0.036395673167870186,0.36183270604821083,0.14264475848597738,9.50172344188255,0.013138120394629024,0.004261057899550866,0.017499416113888954,1.333346829131045,1.2311824285996396,-0.009124331338745933,-0.10894001293577757,38.0
392,26412.0,219.88210398703814,14424.266021549702,409.318993575871,3673.722537383437,10293.865268193185,2056.7433726787567,219.88210398703814,14417.5004183501,0.039763391390075585,0.35688465330266184,0.1425891181988743,9.576667207693513,0.015251055842327546,0.0004574857398707967,0.02263899035234064,1.485117767113546,1.2292684180512046,-0.009287616692500847,-0.12264638732328981,38.0
393,26501.0,87.04709708690643,17336.880169808865,1472.5467257201672,4997.954157739878,13049.810638278723,2640.428611636162,87.04709708690643,17329.626245051622,0.11284046692607004,0.38299055030572543,0.15230125523012553,9.760591313143859,0.0050230221850146506,0.02790022761739065,0.00880232598860539,1.753129926063907,1.384560372257018,-0.00028187829134002085,-0.10949403093851764,46.0
394,26502.0,33.391564786434174,6650.48665329814,564.8739709705114,1917.2323448210955,5005.9520875662565,1012.8774651885033,33.391564786434174,6647.70402289927,0.11284046692607004,0.38299055030572543,0.15230125523012553,8.802445311919394,0.0050230221850146506,0.024959141167698925,0.008802325988605392,1.753129926063907,1.384560372257018,-0.00028187829134002085,-0.10949403093851766,46.0
395,26503.0,1279.674801826477,77367.79808461666,8909.631706625223,25572.645998448133,59624.42933753133,13138.75897526741,1279.674801826477,77301.06504276395,0.14942921560201744,0.428895442397989,0.16982206163987806,11.256325927588522,0.01655442652851606,0.08656186894254049,0.02176330394654323,1.315786559981523,1.1861960383235408,-0.014505917018665614,-0.08880302987454083,46.0
396,26504.0,83.87486457824707,16705.07719516754,1418.883125782013,4815.815141201019,12574.240114688873,2544.204225540161,83.87486457824707,16698.087623119354,0.11284046692607004,0.38299055030572543,0.15230125523012553,9.723467975861745,0.0050230221850146506,0.028598678703499483,0.00880232598860539,1.7531299260639068,1.384560372257018,-0.00028187829134002085,-0.10949403093851763,46.0
397,26601.0,85.00871151685715,10247.094522081316,899.5663799345493,2958.3749498054385,7502.522104457021,1384.3954710289836,85.00871151685715,10237.921390458941,0.1199018633214215,0.3943173920204724,0.13510126875923412,9.234749483123458,0.008303317467946138,0.017731590949181347,0.013387043970670783,1.6136970257632943,1.360870403643608,-0.011868927887360832,-0.10886467728872255,27.0
398,26602.0,123.07531513273716,11427.770927324891,1025.627626106143,3478.017238751054,8647.180474326015,1508.8121966272593,123.07531513273716,11427.770927324891,0.11860832894043226,0.4022140221402214,0.13203031511767052,9.343801718288448,0.010769844435580374,0.008236486841209055,0.011211677168837988,1.0410249874917348,1.2590862506150573,-0.014224667975248798,-0.09709792238118094,46.0
399,26603.0,39.70045644789934,4213.209111317992,114.83441174030304,1217.6047390699387,3030.510226339102,641.7166831716895,39.70045644789934,4209.5687149092555,0.03789276496816993,0.4017820921663155,0.1523106653899135,8.345979895524843,0.009431003301428506,0.0075782005375262885,0.02026611513882755,2.1507405353382456,1.2415477961578234,0.005916200469773626,-0.07570238695687875,46.0
400,26604.0,34.512906447052956,4221.473399102688,76.29168793559074,1186.154100522399,2929.964110478759,610.333503484726,34.512906447052956,4216.023992821574,0.026038437693738377,0.4048357098574086,0.14457831325301204,8.347939492799329,0.008186126669538992,0.010861395825138476,0.014943115166846361,1.827778928828997,1.4139807600703573,-0.03330609308497368,-0.14930638066430085,46.0
401,26605.0,295.3847949206829,27427.02521726489,2461.5399576723576,8347.355500906706,20753.516887575388,3621.1987821757793,295.3847949206829,27427.02521726489,0.11860832894043226,0.4022140221402214,0.13203031511767052,10.21928412807841,0.010769844435580374,0.009226126533038259,0.01121167716883799,1.041024987491735,1.2590862506150569,-0.014224667975248798,-0.09709792238118094,46.0
402,26701.0,566.8994564563036,40214.09418657422,3031.073140054941,11012.31134571135,26930.459480285645,5432.814542800188,566.8994564563036,40162.58781589568,0.11255185386917844,0.4089165784108837,0.13509727503980368,10.601972814816788,0.01411511277746735,0.024098156707138583,0.02037387314719776,1.4452595506234691,1.296032001808863,-0.03905810157134307,-0.07718524026743681,27.0
403,26702.0,404.31696958839893,18688.77601519227,857.0851327478886,5149.138052538037,13049.041562974453,2908.9645163714886,404.31696958839893,18663.444233611226,0.06568184556786108,0.3945989464198106,0.15565302478914433,9.835678409551369,0.021663577447310584,0.008955269744554179,0.03264291224062423,1.5088559749783717,1.2502135288837346,-0.023906916241554492,-0.13073928218471415,38.0
404,26703.0,239.9640778452158,15197.724930197,1153.5115320980549,4062.549738958478,9969.033970832825,2062.8490902483463,239.9640778452158,15176.675449684262,0.11570945945945946,0.4075168918918919,0.13573407202216067,9.628901019986916,0.01581137309292649,0.014946968917922085,0.0234161669804132,1.4830239087595027,1.2507509753413883,-0.07452069525784881,-0.15150732478448878,27.0
405,26704.0,1071.1722012236714,53232.56304953247,2960.4532462731004,14814.302478544414,37047.94006239623,8388.092438317835,1071.1722012236714,53165.09770806879,0.079908713987528,0.3998684529718557,0.15757446115289964,10.882425575477876,0.020148034093824325,0.01892780924034763,0.02996333494553761,1.489046406208532,1.2387103051342732,-0.032174593572563304,-0.127234635589064,38.0
406,26801.0,1342.071717530489,85723.35576973855,6725.672812610865,25804.41476009786,62099.47482794523,15181.282753571868,1342.071717530489,85656.52046695352,0.1083048259465193,0.4155335424589723,0.17709622561149263,11.358880596858329,0.015668062515430608,0.05538621580824275,0.021326381985038494,1.362199207616687,1.2554254291677318,-0.03636749799973054,-0.12892845463122307,38.0
407,26802.0,189.50889363884926,9627.466972619295,639.2665196955204,2876.2029184401035,7029.002754241228,1795.7163541018963,189.50889363884926,9619.210499674082,0.09094697242930991,0.40919075137716115,0.18652012613587238,9.172375435158049,0.019701086034583627,-0.00014696426826217628,0.028009983273575137,1.4229685145219075,1.01778917757036,-0.024647684031505315,-0.10522078417759949,38.0
408,26803.0,476.33744202554226,20934.626901224256,839.6456605195999,5800.821221955121,14786.644492708147,3338.398852162063,476.33744202554226,20906.369595341384,0.056784056784056784,0.3923013923013923,0.15946779791747012,9.94915985652344,0.022784321297547788,-0.0012154714839486475,0.034409969991717554,1.512289020144468,1.1487384817232091,-0.019322518211098257,-0.1339681739643963,38.0
409,26804.0,39.677872732281685,1743.8088812679052,69.94065701961517,483.19578912109137,1231.695320494473,278.08136228471994,39.677872732281685,1741.4551091566682,0.056784056784056784,0.3923013923013923,0.15946779791747012,7.46382701203494,0.022784321297547788,-0.004393757145399339,0.03440996999171755,1.5122890201444679,1.1487384817232091,-0.019322518211098257,-0.13396817396439634,38.0
410,26901.0,542.6166914403439,50517.61397309601,3754.9075047671795,14487.865661457181,35204.97094064951,6761.0039753466845,542.6166914403439,50463.35230395198,0.10665844636251541,0.41152897657213316,0.13383458646616542,10.830077345996276,0.010752688172043012,0.023211058803848616,0.014341385922410849,1.33518302937645,1.2183472320837054,-0.03150572097089295,-0.1164412134135516,27.0
